Study,Mean,L,U
Persoons et al. 2001,6.4,5.55,7.24
Henkel et al. 2004,7.01,6.46,7.56
Grafe et al. 2004,8.12,7.59,8.65
Fann et al. 2005,5.49,4.45,6.53
Picardi et al. 2005,6.76,5.78,7.74
Azah et al. 2005,5.91,5.33,6.49
Hahn et al. 2006,9.61,8.82,10.39
Eack et al. 2006,10.06,8.03,12.1
Muramatsu et al. 2007,8.92,7.6,10.24
Stafford et al. 2007,4.84,4.04,5.64
Hides et al. 2007,12.62,11.18,14.06
Patel et al. 2008,5.07,4.52,5.62
Thombs et al. 2008,5.19,4.85,5.53
Lotrakul et al. 2008,6.51,6,7.01
Lamers et al. 2008,7.15,5.96,8.34
Wittkampf et al. 2009,5.72,4.99,6.44
Osorio et al. 2009,7.79,6.69,8.88
Gjerdingen et al. 2009,4.38,3.93,4.83
Richardson et al. 2010,7.77,7.19,8.34
van Steenbergen-Weijenburg et al. 2010,7.94,7.03,8.85
Arroll et al. 2010,4.29,4.1,4.48
Ayalon et al. 2010,3.45,2.75,4.15
Delgadillo et al. 2011,13.1,11.96,14.24
Hyphantis et al. 2011,6.33,5.65,7.01
Hobfoll et al. 2011,5.94,4.97,6.9
Khamseh et al. 2011,12.25,11.15,13.35
Liu et al. 2011,3.38,3.18,3.58
Pence et al. 2012,2.58,2.22,2.94
Osorio et al. 2012,10.41,8.92,11.9
Mohd Sidik et al. 2012,4.73,4.03,5.43
Bombardier et al. 2012,6.66,5.84,7.49
Sidebottom et al. 2012,6.4,5.68,7.11
Turner et al. 2012,7.24,5.85,8.62
Williams et al. 2012,5.85,5.23,6.47
de Man-van Ginkel et al. 2012,7.04,6.21,7.86
Simning et al. 2012,5.09,4.48,5.7
Kwan et al. 2012,5.5,4.53,6.46
Sung et al. 2013,4.34,3.92,4.76
Inagaki et al. 2013,2.79,2.07,3.5
Razykov et al. 2013,6.82,6.25,7.38
Rooney et al. 2013,6.71,5.74,7.67
Vohringer et al. 2013,9.86,8.97,10.76
Zhang et al. 2013,7.1,5.52,8.68
Twist et al. 2013,4.47,3.9,5.03
Chagas et al. 2013,8.43,7.15,9.71
Akena et al. 2013,6.33,5.23,7.43
Santos et al. 2013,5.64,4.91,6.37
McGuire et al. 2013,5.61,4.46,6.76
Fischer et al. 2014,5.48,4.7,6.27
Gelaye et al. 2014,6.55,6.21,6.9
Beraldi et al. 2014,6,5.31,6.69
Cholera et al. 2014,6.12,5.65,6.59
Fiest et al. 2014,5.68,4.84,6.52
Hyphantis et al. 2014,6.76,6.13,7.39
Kiely et al. 2014,4.14,3.84,4.44
Lambert et al. 2015,6.84,5.93,7.76
Amoozegar et al. 2017,8.06,7.22,8.91
Turner et al. Unpublished,4.12,2.71,5.52
